# Lexia 3 full USB dump (control+bulk+interrupt, включая пустые)
# ts,type,xfer,dir,ep,bus,dev,status,length,caplen,setup,data
1786904356.795967,C,BULK,OUT,6,1,16,0,25,0,,
1786904356.796116,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.796711,C,BULK,IN,5,1,16,0,3,3,,064009
1786904356.796906,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904356.796930,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.797081,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.797203,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904356.797361,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904356.797384,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.797525,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.798038,C,BULK,IN,5,1,16,0,27,27,,440917c000fe0000aa000000000000fe020001aa00000000000088
1786904356.798174,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904356.798196,C,BULK,OUT,6,1,16,0,3,0,,
1786904356.799301,S,BULK,OUT,6,1,16,4294967181,25,25,,400915c000fa0000aa0000000000000000000000000000003d
1786904356.799343,C,BULK,OUT,6,1,16,0,25,0,,
1786904356.799441,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.800351,C,BULK,IN,5,1,16,0,3,3,,064009
1786904356.800553,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904356.800580,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.800735,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.800850,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904356.801028,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904356.801055,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.801241,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.802155,C,BULK,IN,5,1,16,0,64,64,,440945c000fa0000aa000000000000fa300001aa000000004150504c495f58535f46756a695f005031303631333841200056342e332e37004041435449410032
1786904356.802331,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.802358,C,BULK,IN,5,1,16,0,9,9,,372e31302e31370004
1786904356.802495,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904356.802518,C,BULK,OUT,6,1,16,0,3,0,,
1786904356.809214,S,BULK,OUT,6,1,16,4294967181,25,25,,400915c000fe0000aa00000000000000000000000000000039
1786904356.809271,C,BULK,OUT,6,1,16,0,25,0,,
1786904356.809468,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.810073,C,BULK,IN,5,1,16,0,3,3,,064009
1786904356.810298,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904356.810324,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.810445,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.810597,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904356.810666,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904356.810689,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.810749,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.811261,C,BULK,IN,5,1,16,0,27,27,,440917c000fe0000aa000000000000fe020001aa00000000000088
1786904356.811396,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904356.811421,C,BULK,OUT,6,1,16,0,3,0,,
1786904356.812434,S,BULK,OUT,6,1,16,4294967181,27,27,,400917c000090200aa00000000000000000000000000000016060e
1786904356.812483,C,BULK,OUT,6,1,16,0,27,0,,
1786904356.812575,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.813474,C,BULK,IN,5,1,16,0,3,3,,064009
1786904356.813573,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904356.813597,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.815400,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.815435,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904356.815534,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904356.815562,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.815623,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.816183,C,BULK,IN,5,1,16,0,31,31,,44091bc000090200aa00000000000009060001aa0000000030313131313341
1786904356.816270,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904356.816293,C,BULK,OUT,6,1,16,0,3,0,,
1786904356.826592,S,BULK,OUT,6,1,16,4294967181,25,25,,400915c000fe0000aa00000000000000000000000000000039
1786904356.826647,C,BULK,OUT,6,1,16,0,25,0,,
1786904356.826775,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.827430,C,BULK,IN,5,1,16,0,3,3,,064009
